action,stock,quant,cost,time
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,10122000000,10091634000,2024-08-08 21:29:26+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,501500000,499995500,2024-08-08 22:00:56+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,180910000,180186360,2024-08-08 16:08:10+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,372230000,371485540,2024-08-08 21:35:00+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1652320000,1649015360,2024-08-08 19:29:34+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,330330000,329339010,2024-08-08 21:19:48+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,483920000,481984320,2024-08-08 04:22:50+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,244140000,243163440,2024-08-08 23:40:24+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1000000000,998000000,2024-08-08 22:41:04+00:00
buy,6d32e4c978201f09eddf6391538e6fa84461812198eeb8164310246f8c6afc4,573000000,542631000,2024-07-12 20:10:36+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,10010000,9969960,2024-08-08 16:01:02+00:00
buy,a7a516d1ee2c6193d27d9c040755fb6d76b5906c47cc3ef8cbeb3a0038be77f,31810000,31778190,2024-07-12 22:48:07+00:00
buy,ae1703966255b58c23a50927e65b6eadfa804da9867b8bc915149fb7401cfae,672000000,669312000,2024-07-12 23:11:15+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,1003000000,999927700,2024-08-08 05:36:57+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,20020000,19959940,2024-08-08 20:02:37+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,500010000,498509970,2024-08-08 22:35:46+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,25010000,24884950,2024-08-08 07:57:41+00:00
buy,1eb879a3a72ce15add21f21b840e82e3d4bc8b6cda185127597ac91d57a2b4b,672000000,666624000,2024-07-12 23:11:13+00:00
buy,13e1720a015b488b2926ae072f0c1b6c828b0d7b9afe87e190600c26f392b36,2624000000,2621376000,2024-07-12 14:20:14+00:00
buy,b519140abc2fa56976d4d79e3ee8982d20d4ca50d17bbb0c185be5bee609c43,635000000,629920000,2024-07-12 22:08:13+00:00
buy,53acffb0959d07c8388599b77d86b5507bf8bcaa724b4beb054eb5712e95d7b,100200000,99799200,2024-08-08 22:30:52+00:00
buy,ae1703966255b58c23a50927e65b6eadfa804da9867b8bc915149fb7401cfae,89000000,88644000,2024-07-12 14:52:04+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,639670000,637750990,2024-08-08 19:56:07+00:00
buy,776928a1c2f7d4d4ee71c45c667e1f91b5e58d535eb223bd8df072b5869a7cf,1168000000,1165664000,2024-08-08 23:36:59+00:00
buy,cb40b8c20ed9093be049330c19e67ab23e0f8a792cfd554b67a3fc815209df8,101900000,101594300,2024-08-08 20:49:14+00:00
buy,1e21420dbcb66aee28416f69ba8119260d6b5c600eef0115de3a9c877e419e3,10170000,10129320,2024-08-08 16:10:18+00:00
